time,Outdoor AQI,Dining Hall D2 AQI,Campus Center AQI,Hazardous,Very Unheathy,Unhealthy,Unhealthy for Sensitive Groups,Moderate,Good
2023-09-16 00:00,171,88,92,0,300,200,150,100,50
2023-09-16 01:00,169,82,96,0,300,200,150,100,50
2023-09-16 02:00,167,94,96,0,300,200,150,100,50
2023-09-16 03:00,165,90,97,0,300,200,150,100,50
2023-09-16 04:00,164,85,94,0,300,200,150,100,50
2023-09-16 05:00,165,84,91,0,300,200,150,100,50
2023-09-16 06:00,165,88,82,0,300,200,150,100,50
2023-09-16 07:00,167,92,81,0,300,200,150,100,50
2023-09-16 08:00,169,90,82,0,300,200,150,100,50
2023-09-16 09:00,171,96,84,0,300,200,150,100,50
2023-09-16 10:00,170,101,84,0,300,200,150,100,50
2023-09-16 11:00,170,102,85,0,300,200,150,100,50
2023-09-16 12:00,170,142,85,0,300,200,150,100,50
2023-09-16 13:00,170,148,89,0,300,200,150,100,50
2023-09-16 14:00,159,119,83,0,300,200,150,100,50
2023-09-16 15:00,154,75,70,0,300,200,150,100,50
2023-09-16 16:00,128,56,58,0,300,200,150,100,50
2023-09-16 17:00,119,58,51,0,300,200,150,100,50
2023-09-16 18:00,123,72,46,0,300,200,150,100,50
2023-09-16 19:00,159,85,48,0,300,200,150,100,50
2023-09-16 20:00,177,140,62,0,300,200,150,100,50
2023-09-16 21:00,186,147,86,0,300,200,150,100,50
2023-09-16 22:00,186,127,92,0,300,200,150,100,50
2023-09-16 23:00,179,102,103,0,300,200,150,100,50
2023-09-17 00:00,168,86,106,0,300,200,150,100,50
2023-09-17 01:00,164,74,97,0,300,200,150,100,50
2023-09-17 02:00,161,69,92,0,300,200,150,100,50
2023-09-17 03:00,160,68,90,0,300,200,150,100,50
2023-09-17 04:00,159,66,88,0,300,200,150,100,50
2023-09-17 05:00,157,64,84,0,300,200,150,100,50
2023-09-17 06:00,156,69,72,0,300,200,150,100,50
2023-09-17 07:00,157,70,65,0,300,200,150,100,50
2023-09-17 08:00,156,66,65,0,300,200,150,100,50
2023-09-17 09:00,160,70,66,0,300,200,150,100,50
2023-09-17 10:00,160,73,69,0,300,200,150,100,50
2023-09-17 11:00,160,113,66,0,300,200,150,100,50
2023-09-17 12:00,158,144,65,0,300,200,150,100,50
2023-09-17 13:00,161,153,63,0,300,200,150,100,50
